SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
9929	Kahama DC	Dakama	Kinamapula	Kinamapula		Kinamapula	Dis	LGA	Rural	Public
9937	Kahama DC	Dakama	Kisuke	Kisuke		Kisuke	Dis	LGA	Rural	Public
9938	Kahama DC	Dakama	Kisuke	Bukomela		Bukomela	Dis	LGA	Rural	Public
9941	Kahama DC	Dakama	Kisuke	Mapamba		Mapamba	Dis	LGA	Rural	Public
9946	Kahama DC	Dakama	Mpunze	Ifunde		Ifunde	Dis	LGA	Rural	Public
9953	Kahama DC	Dakama	Nyandekwa	Lowa		Lowa	HC	Religious	Rural	Fbo
9956	Kahama DC	Dakama	Nyandekwa	Nyandekwa		Nyandekwa	Dis	Religious	Rural	Fbo
9957	Kahama DC	Dakama	Ukune	Iboja		Iboja	HC	LGA	Rural	Public
9962	Kahama DC	Dakama	Ukune	Igunda		Igunda	Dis	LGA	Rural	Public
9968	Kahama DC	Dakama	Idahina	Idahina		Idahina	Dis	LGA	Rural	Public
9974	Kahama DC	Isagehe	Isagehe	Isagehe		Isagehe	Dis	LGA	Rural	Public
9975	Kahama DC	Isagehe	Isagehe	Kagongwa		Kagongwa	Dis	LGA	Rural	Public
9976	Kahama DC	Isagehe	Isagehe	Kagongwa		Ismail Kitinga	Dis	Private	Rural	Private
9977	Kahama DC	Isagehe	Isagehe	Mpera		Mpera	HC	Religious	Rural	Fbo
9980	Kahama DC	Isagehe	Isagehe	Kishima		Menonite	Dis	Menonite	Rural	Fbo
9985	Kahama DC	Isagehe	Isagehe	Sungamilie		Sangilwa	Dis	LGA	Rural	Public
9986	Kahama DC	Isagehe	Isaka	Isaka		Isaka	Dis	Religious	Rural	Fbo
9988	Kahama DC	Isagehe	Isaka	Itogwanholo		Isaka	Dis	LGA	Rural	Public
9991	Kahama DC	Isagehe	Jana	Jana		Jana	Dis	LGA	Rural	Public
9997	Kahama DC	Isagehe	Kinaga	Kinaga		Kinaga	Dis	LGA	Rural	Public
10007	Kahama DC	Isagehe	Mwalugulu	Mwalugulu		Mwalugulu	Dis	LGA	Rural	Public
10012	Kahama DC	Kahama	Kahama Mjini	Igalilimi		Igalilimi	Dis	Private	Rural	Private
10013	Kahama DC	Kahama	Kahama Mjini	Igalilimi		Magai	Hos	Private	Rural	Private
10014	Kahama DC	Kahama	Kahama Mjini	Majengo		Dr Dalali	Dis	Private	Rural	Private
10015	Kahama DC	Kahama	Kahama Mjini	Majengo		Majengo	Dis	BAKWATA	Rural	Private
10017	Kahama DC	Kahama	Kahama Mjini	Nyasubi		Igalilimi	HC	Private	Rural	Private
10018	Kahama DC	Kahama	Kahama Mjini	Nyasubi		Nyasubi	Dis	Private	Rural	Private
10019	Kahama DC	Kahama	Kahama Mjini	Nyasubi		Marie Stopes	Dis	Private	Rural	Private
10021	Kahama DC	Kahama	Malunga	Malunga		Kahama	Hos	LGA	Rural	Public
10025	Kahama DC	Kahama	Mhongolo	Mbulu		Mbulu	Dis	Religious	Rural	Fbo
10028	Kahama DC	Kahama	Mwendakulima	Mwime		Mwime	Dis	LGA	Rural	Public
10031	Kahama DC	Kahama	Nyihogo	Nyihogo		Madina	Dis	Private	Rural	Private
10032	Kahama DC	Kahama	Nyihogo	Nyihogo		Menonite	Dis	Private	Rural	Private
10035	Kahama DC	Kahama	Zongomela	Zongomela		Zongomela	Dis	LGA	Rural	Public
10037	Kahama DC	Kahama	Zongomela	Seeke		Seeke	Dis	LGA	Rural	Public
10038	Kahama DC	Msalala	Bugarama	Bugarama		Bugarama	Dis	LGA	Rural	Public
10039	Kahama DC	Msalala	Bugarama	Kakola		Barick Gold Mine	HC	Private	Rural	Private
10045	Kahama DC	Msalala	Bulige	Bulige		Bulige	Dis	LGA	Rural	Public
10051	Kahama DC	Msalala	Busangi	Busangi		Busangi	Dis	LGA	Rural	Public
10055	Kahama DC	Msalala	Chela	Chela		Chela	HC	LGA	Rural	Public
10061	Kahama DC	Msalala	Lunguya	Lunguya		Lunguya	HC	LGA	Rural	Public
10069	Kahama DC	Msalala	Ngaya	Ngaya		Ngaya	Dis	LGA	Rural	Public
10075	Kahama DC	Msalala	Ngogwa	Ngogwa		Ngogwa	Dis	LGA	Rural	Public
10077	Kahama DC	Msalala	Ngogwa	Nyambula		Nyambula	Dis	LGA	Rural	Public
10082	Kahama DC	Msalala	Ntobo	Ntobo A		Ntobo	Dis	LGA	Rural	Public
10087	Kahama DC	Msalala	Segese	Segese		Segese	Dis	LGA	Rural	Public
10095	Kahama DC	Msalala	Segese	Shilela		Shilela	Dis	LGA	Rural	Public
10097	Kahama DC	Mweli	Bulungwa	Shaka		Bulungwa	HC	LGA	Rural	Public
10109	Kahama DC	Mweli	Bulungwa	Nyalwelwe		Nyalwelwe	Dis	LGA	Rural	Public
10112	Kahama DC	Mweli	Ulowa	Ubagwe		Ubagwe	Dis		Rural	TBD
10113	Kahama DC	Mweli	Ulowa	Ulowa		Ulowa	Dis		Rural	TBD
10117	Kahama DC	Mweli	Ushetu	Mbika		Ushetu	Dis	Private	Rural	Private
10118	Kahama DC	Mweli	Ushetu	Mbika		Ushetu	HC	LGA	Rural	Public
10124	Kahama DC	Mweli	Uyogo	Uyogo		Uyogo	Dis	LGA	Rural	Public
10129	Shinyanga DC	Itwangi	Didia	Chembeli		Bugisi	Dis	Roman Catholic	Rural	Fbo
10132	Shinyanga DC	Itwangi	Didia	Nyashimbi		Nyashimbi	Dis	LGA	Rural	Public
10137	Shinyanga DC	Itwangi	Ilola	Kasingili		Ilola	Dis	LGA	Rural	Public
10138	Shinyanga DC	Itwangi	Ilola	Mendo		Mendo	Dis	LGA	Rural	Public
10141	Shinyanga DC	Itwangi	Imesela	Mwamanyunda		Mwamanyunda	Dis	LGA	Rural	Public
10145	Shinyanga DC	Itwangi	Itwangi	Itwangi		Itwangi	Dis	LGA	Rural	Public
10149	Shinyanga DC	Itwangi	Itwangi	Zobogo		Zobogo	Dis	LGA	Rural	Public
10151	Shinyanga DC	Itwangi	Tinde	Jomu		Tinde	HC	LGA	Rural	Public
10152	Shinyanga DC	Itwangi	Tinde	Jomu		Jomu	Dis	BAKWATA	Rural	Private
10153	Shinyanga DC	Itwangi	Tinde	Jomu		Jomu Wazazi	Dis	Private	Rural	Private
10160	Shinyanga DC	Itwangi	Usule	Bukene		Bukene	Dis	LGA	Rural	Public
10161	Shinyanga DC	Itwangi	Usule	Igalamya		Usule	Dis	LGA	Rural	Public
10166	Shinyanga DC	Itwangi	Usule	Sumbigu		Sumbigu	Dis	LGA	Rural	Public
10168	Shinyanga DC	Nindo	Iselamagazi	Iselamagazi		Nindo	HC	LGA	Rural	Public
10173	Shinyanga DC	Nindo	Iselamagazi	Mwajiji		Mwajiji	Dis	LGA	Rural	Public
10174	Shinyanga DC	Nindo	Iselamagazi	Mwamakaranga		Mwamakaranga	Dis	LGA	Rural	Public
10178	Shinyanga DC	Nindo	Iselamagazi	Mwasingu		Mwasingu	Dis	LGA	Rural	Public
10179	Shinyanga DC	Nindo	Iselamagazi	Nghomango		Nghomango	Dis	LGA	Rural	Public
10181	Shinyanga DC	Nindo	Lyabukande	Ihugi		Ihugi	Dis	LGA	Rural	Public
10185	Shinyanga DC	Nindo	Lyabukande	Lyabukande		Lyabukande	Dis	LGA	Rural	Public
10189	Shinyanga DC	Nindo	Mwakitolyo	Mawemilu		Mawemilu	Dis	LGA	Rural	Public
10190	Shinyanga DC	Nindo	Mwakitolyo	Mwakitolyo		Mwakitolyo	Dis	LGA	Rural	Public
10193	Shinyanga DC	Nindo	Mwantini	Mishepo		Mishepo	Dis	LGA	Rural	Public
10200	Shinyanga DC	Nindo	Pandagichiza	Mwalukwa		Mwalukwa	Dis	LGA	Rural	Public
10204	Shinyanga DC	Nindo	Pandagichiza	Shilabela		Shilabela	Dis	LGA	Rural	Public
10206	Shinyanga DC	Nindo	Salawe	Azimio		Salawe	HC	LGA	Rural	Public
10208	Shinyanga DC	Nindo	Salawe	Mwege		Wazazi	Dis		Rural	TBD
10209	Shinyanga DC	Nindo	Salawe	Mwege		Mwenge	Dis	LGA	Rural	Public
10212	Shinyanga DC	Nindo	Salawe	Songambele		Songambele Wazazi	Dis	Private	Rural	Private
10213	Shinyanga DC	Nindo	Salawe	Zunzuli		Zunzuli	Dis	LGA	Rural	Public
10216	Shinyanga DC	Nindo	Solwa	Mwasekagi		Mwasekagi	Dis	LGA	Rural	Public
10218	Shinyanga DC	Nindo	Solwa	Solwa		Solwa	Dis	LGA	Rural	Public
10223	Shinyanga DC	Samuye	Mwamala	Mwamala		Mwamala	Dis	LGA	Rural	Public
10226	Shinyanga DC	Samuye	Samuye	Ikonda B		Ikonda B	Dis	LGA	Rural	Public
10227	Shinyanga DC	Samuye	Samuye	Ilobashi		Ilobashi	Dis	LGA	Rural	Public
10228	Shinyanga DC	Samuye	Samuye	Ibingo		Samuye	HC	LGA	Rural	Public
10231	Shinyanga DC	Samuye	Samuye	Masengwa		Mwabenda	Dis	LGA	Rural	Public
10236	Shinyanga DC	Samuye	Usanda	Bugogo		Bugogo	Dis	LGA	Rural	Public
10238	Shinyanga DC	Samuye	Usanda	Singita		Wazazi	Dis		Rural	TBD
10239	Shinyanga DC	Samuye	Usanda	Singita		Singita	Dis	BAKWATA	Rural	Private
10240	Shinyanga DC	Samuye	Usanda	Singita		Usanda	Dis	LGA	Rural	Public
10242	Kishapu DC	Kishapu	Kishapu	Kishapu		Kishapu	HC	LGA	Rural	Public
10243	Kishapu DC	Kishapu	Kishapu	Lubaga		Lubaga	Dis	LGA	Rural	Public
10244	Kishapu DC	Kishapu	Kishapu	Mhunze		Munze	Dis	BAKWATA	Rural	Private
10245	Kishapu DC	Kishapu	Kishapu	Mhunze		Munze Wazazi	Dis	Private	Rural	Private
10246	Kishapu DC	Kishapu	Kishapu	Migunga		Migunga	Dis	LGA	Rural	Public
10250	Kishapu DC	Kishapu	Masanga	Bulekela		Bulekela	Dis	LGA	Rural	Public
10251	Kishapu DC	Kishapu	Masanga	Buzinza		Hindiwashi	Dis	LGA	Rural	Public
10252	Kishapu DC	Kishapu	Masanga	Mwajidalala		Majidalala	Dis	TASAF	Rural	Public
10253	Kishapu DC	Kishapu	Masanga	Masanga		Masanga	Dis	LGA	Rural	Public
10255	Kishapu DC	Kishapu	Mwakipoya	Badi		Badi	Dis	LGA	Rural	Public
10258	Kishapu DC	Kishapu	Mwakipoya	Ngeme		Ngeme	Dis	LGA	Rural	Public
10259	Kishapu DC	Kishapu	Mwamalasa	Kinampanda		Kinampanda	Dis	LGA	Rural	Public
10260	Kishapu DC	Kishapu	Mwamalasa	Magalata		Magalata	Dis	LGA	Rural	Public
10261	Kishapu DC	Kishapu	Mwamalasa	Mwamalasa		Somagedi	Dis	LGA	Rural	Public
10263	Kishapu DC	Kishapu	Shagihilu	Gimagi		Isungangholo	Dis	LGA	Rural	Public
10267	Kishapu DC	Kishapu	Shagihilu	Shagihilu		Shagihilu Wazazi	Dis	Private	Rural	Private
10268	Kishapu DC	Kishapu	Shagihilu	Shagihilu		Shagihilu	Dis	LGA	Rural	Public
10269	Kishapu DC	Kishapu	Shagihilu	Ndoleleji		Ndoleleji	Dis	Roman Catholic	Rural	Fbo
10270	Kishapu DC	Kishapu	Somagedi	Kisesa		Kisesa	Dis	TASAF	Rural	Public
10271	Kishapu DC	Kishapu	Somagedi	Malwilo		Malwilo	Dis	LGA	Rural	Public
10273	Kishapu DC	Kishapu	Uchunga	Bunyanyembe		Uchunga	Dis	LGA	Rural	Public
10274	Kishapu DC	Kishapu	Uchunga	Bupigi		Bupigi	Dis	LGA	Rural	Public
10278	Kishapu DC	Kishapu	Uchunga	Igaga B		Igaga	Dis	LGA	Rural	Public
10282	Kishapu DC	Mondo	Bubiki	Busangwa		Busangwa		LGA	Rural	Public
10283	Kishapu DC	Mondo	Bubiki	Mwajiningu		Bubiki	Dis	LGA	Rural	Public
10286	Kishapu DC	Mondo	Bubiki	Nyasamba		Nyasamba	Dis	LGA	Rural	Public
10288	Kishapu DC	Mondo	Bunambiyu	Butuyu		Bunambiyu	HC	LGA	Rural	Public
10289	Kishapu DC	Mondo	Bunambiyu	Itongoitale		Itongoitale	Dis	LGA	Rural	Public
10292	Kishapu DC	Mondo	Mondo	Buganika		Buganika	Dis	LGA	Rural	Public
10295	Kishapu DC	Mondo	Mondo	Wishiteleja		Mondo	Dis	LGA	Rural	Public
10296	Kishapu DC	Mondo	Mwaduilohumbo	Bulima		Bulima	Dis	TASAF	Rural	Public
10297	Kishapu DC	Mondo	Mwaduilohumbo	Idukilo		Idukilo	Dis	LGA	Rural	Public
10298	Kishapu DC	Mondo	Mwaduilohumbo	Mwadui Luhumbo		Mwadui Luhumbo	Dis	LGA	Rural	Public
10299	Kishapu DC	Mondo	Mwaduilohumbo	Mwadui Luhumbo		Shinyanga Secondary School	Dis	MDA	Rural	Public
10300	Kishapu DC	Mondo	Mwaduilohumbo	Mwadui Luhumbo		Mwadui	Hos	Private	Rural	Private
10301	Kishapu DC	Mondo	Mwaduilohumbo	Nyenze		Nyenze	Dis	TASAF	Rural	Public
10302	Kishapu DC	Mondo	Seke Bugoro	Bugoro		Seke Bugoro	Dis	LGA	Rural	Public
10305	Kishapu DC	Mondo	Seke Bugoro	Mipa		Mipa	Dis	Roman Catholic	Rural	Fbo
10306	Kishapu DC	Mondo	Seke Bugoro	Mipa		Mipa	Dis	LGA	Rural	Public
10309	Kishapu DC	Mondo	Songwa	Maganzo		Maganzo	Dis	LGA	Rural	Public
10313	Kishapu DC	Mondo	Songwa	Songwa		Songwa	HC	LGA	Rural	Public
10316	Kishapu DC	Negezi	Itilima	Ilebelebe		Ilebelebe	Dis	LGA	Rural	Public
10319	Kishapu DC	Negezi	Itilima	Itilima		Itilima	Dis	LGA	Rural	Public
10321	Kishapu DC	Negezi	Itilima	Mwamala		Seseko	Dis	LGA	Rural	Public
10322	Kishapu DC	Negezi	Kiloleli	Kiloleli		Kiloleli	Dis	LGA	Rural	Public
10324	Kishapu DC	Negezi	Kiloleli	Muguda		Muguda	Dis	LGA	Rural	Public
10325	Kishapu DC	Negezi	Lagana	Beledi		Beledi	Dis	TASAF	Rural	Public
10326	Kishapu DC	Negezi	Lagana	Lagana		Lagana	Dis	LGA	Rural	Public
10327	Kishapu DC	Negezi	Lagana	Mihama		Mihama	Dis	Religious	Rural	Fbo
10329	Kishapu DC	Negezi	Mwanashele	Bubinza		Bubinza	Dis	LGA	Rural	Public
10332	Kishapu DC	Negezi	Mwanashele	Mwamashele		Mwamashele	Dis	LGA	Rural	Public
10336	Kishapu DC	Negezi	Ngofila	Mwamanota		Mwamanota	Dis	LGA	Rural	Public
10337	Kishapu DC	Negezi	Ngofila	Ngofila		Ngofila	Dis	LGA	Rural	Public
10341	Kishapu DC	Negezi	Talaga	Nhobola		Nhobola	HC	LGA	Rural	Public
10343	Kishapu DC	Negezi	Ukenyenge	Ikonda		Ikonda	Dis	LGA	Rural	Public
10347	Kishapu DC	Negezi	Ukenyenge	Negezi		Negezi	Dis	LGA	Rural	Public
10348	Kishapu DC	Negezi	Ukenyenge	Ukenyenge		Masusante	Dis	Private	Rural	Private
10349	Kishapu DC	Negezi	Ukenyenge	Ukenyenge		Ukenyenge Wazazi	Dis	Private	Rural	Private
10350	Nyamagana DC	Nyamagana	Pamba	Assemblies		Bugando	Hos	Roman Catholic	Rural	Fbo
10351	Nyamagana DC	Nyamagana	Pamba	Lumumba		Kulwa	HC	Private	Rural	Private
10352	Nyamagana DC	Nyamagana	Pamba	Miti Mirefu		Aghakhan	HC	Religious	Rural	Fbo
10353	Nyamagana DC	Nyamagana	Pamba	Sheikh Amin		Al-Ijumaa	HC	BAKWATA	Rural	Private
10354	Nyamagana DC	Nyamagana	Pamba	Bugarika A		Bugarika	Dis	LGA	Rural	Public
10355	Nyamagana DC	Nyamagana	Pamba	Nyerere Road		Victoria (Mheta)	Clinic	Private	Rural	Private
10356	Nyamagana DC	Nyamagana	Isamilo	Lake		Sekou Toure	Hos	LGA	Rural	Public
10357	Nyamagana DC	Nyamagana	Isamilo	Balewa		Hindu Union	Hos	Religious	Rural	Fbo
10358	Nyamagana DC	Nyamagana	Isamilo	Balewa		Nyakahoja	Dis	Roman Catholic	Rural	Fbo
10359	Nyamagana DC	Nyamagana	Isamilo	Misheni		AICT-Makongoro	HC	Assemblies of God	Rural	Fbo
10360	Nyamagana DC	Nyamagana	Isamilo	Nera		Good Samaritans	Clinic	Private	Rural	Private
10361	Nyamagana DC	Nyamagana	Nyamagana	Makoroboi		Mwananchi Trust	Hos	Private	Rural	Private
10362	Nyamagana DC	Nyamagana	Nyamagana	Zima Moto		Huduma Mashuleni	Dis	LGA	Rural	Public
10363	Nyamagana DC	Nyamagana	Nyamagana	Nkurumah		Amani Chogo	Dis	Private	Rural	Private
10364	Nyamagana DC	Nyamagana	Nyamagana	Posta		Anglican (Dvn)	Dis	Anglican	Rural	Fbo
10365	Nyamagana DC	Nyamagana	Nyamagana	Nkomoh		Bot	Dis	Parastatal	Rural	Public
10366	Nyamagana DC	Nyamagana	Nyamagana	Kenyatta Road		Nyanza Cooperative Union	Dis	Religious	Rural	Fbo
10367	Nyamagana DC	Nyamagana	Butimba	Hospitali		Nyamagana	Hos	LGA	Rural	Public
10368	Nyamagana DC	Nyamagana	Butimba	Magereza		Butimba	Dis	LGA	Rural	Public
10369	Nyamagana DC	Nyamagana	Butimba	Ttc		Butimba TTC	Dis	MDA	Rural	Public
10370	Nyamagana DC	Nyamagana	Butimba	MTC Nyegezi		MTC Nyegezi	Dis	TPDF	Rural	Public
10371	Nyamagana DC	Nyamagana	Butimba	Girishi		Gisani	Dis	Private	Rural	Private
10372	Nyamagana DC	Nyamagana	Igoma	Shamaliwa		Urafiki Community	HC	Seventh Day Adventists	Rural	Fbo
10373	Nyamagana DC	Nyamagana	Igoma	CCM		Igoma	HC	LGA	Rural	Public
10374	Nyamagana DC	Nyamagana	Igoma	Fumagila		Fumagila	Dis	LGA	Rural	Public
10375	Nyamagana DC	Nyamagana	Igoma	Kanisani		Amani-Igoma	Dis	Private	Rural	Private
10376	Nyamagana DC	Nyamagana	Igoma	Maendeleo		St Michael	Dis	Private	Rural	Private
10377	Nyamagana DC	Nyamagana	Mirongo	Gulio		Makongoro	Clinic	LGA	Rural	Public
10378	Nyamagana DC	Nyamagana	Mirongo	Uzinza		Huruma Mirongo	Dis	Private	Rural	Private
10379	Nyamagana DC	Nyamagana	Mirongo	Rufiji		Mirongo	Clinic	Private	Rural	Private
10380	Nyamagana DC	Nyamagana	Mirongo	Usimau		Usumau	Dis	Private	Rural	Private
10381	Nyamagana DC	Nyamagana	Mirongo	Kilombero		Kilombero	Dis	Private	Rural	Private
10382	Nyamagana DC	Nyamagana	Mirongo	Balewa		Balewa	Dental Clinic	Private	Rural	Private
10383	Nyamagana DC	Nyamagana	Igogo	Kenyegezi B		Igogo	Dis	LGA	Rural	Public
10384	Nyamagana DC	Nyamagana	Igogo	Guinea A		Igogo Kusaidiana	Dis	Private	Rural	Private
10385	Nyamagana DC	Nyamagana	Igogo	Guinea A		New Tegemeo Letu	Dis	Private	Rural	Private
10386	Nyamagana DC	Nyamagana	Igogo	Railway		Marine TRC	Dis	MDA	Rural	Public
10387	Nyamagana DC	Nyamagana	Mkolani	Nyamalango		Nganza	Dis		Rural	TBD
10388	Nyamagana DC	Nyamagana	Mkolani	Nyamalango		Nyegezi	Dis	LGA	Rural	Public
10389	Nyamagana DC	Nyamagana	Mkolani	Ibanda		Mkolani	Dis	LGA	Rural	Public
10390	Nyamagana DC	Nyamagana	Mkolani	Malimbe		Nyegezi	Dis	Parastatal	Rural	Public
10391	Nyamagana DC	Nyamagana	Mkolani	Nsumba		Nsumba	Dis	MDA	Rural	Public
10392	Nyamagana DC	Nyamagana	Mkolani	Sweya		Nyegezi Fisheries	Dis	MDA	Rural	Public
10393	Nyamagana DC	Nyamagana	Mkolani	Shadi		Shadi	Dis	LGA	Rural	Public
10394	Nyamagana DC	Nyamagana	Buhongwa	Ihushi		Buhongwa	Dis	LGA	Rural	Public
10395	Nyamagana DC	Nyamagana	Buhongwa	Sahwa		Sahwa	Dis	LGA	Rural	Public
10396	Nyamagana DC	Nyamagana	Mbugani	Police Line		Mabatini	Dis	Police	Rural	Public
10397	Nyamagana DC	Nyamagana	Mbugani	Uhuru		Hurumia Watoto	Dis	Private	Rural	Private
10398	Nyamagana DC	Nyamagana	Mkuyuni	Mahakama		Mkuyuni	Dis	Menonite	Rural	Fbo
10399	Nyamagana DC	Nyamagana	Mahina	Isegenghe		Faith Community	Dis	Private	Rural	Private
10400	Nyamagana DC	Nyamagana	Mahina	Isegenghe		Msamaria	Dis	Private	Rural	Private
10401	Nyamagana DC	Nyamagana	Mahina	Mahina Kati		Mahina	Dis	LGA	Rural	Public
10402	Ilemela DC	Ilemela	Nyakato	Buzuruga		Buzuruga	HC	LGA	Rural	Public
10403	Ilemela DC	Ilemela	Nyakato	Buzuruga		Mwanza	Dis	Private	Rural	Private
10404	Ilemela DC	Ilemela	Nyakato	National		Nyakato	Dis	LGA	Rural	Public
10405	Ilemela DC	Ilemela	Nyakato	National		Juwa	Dis	Private	Rural	Private
10406	Ilemela DC	Ilemela	Nyakato	Buzuruga Kaskazini		Nyasaka	Dis	Private	Rural	Private
10407	Ilemela DC	Ilemela	Nyakato	Mwatex		Nyakato	HC	Lutheran	Rural	Fbo
10408	Ilemela DC	Ilemela	Nyamanoro	Karume		Taqwa	HC	BAKWATA	Rural	Private
10409	Ilemela DC	Ilemela	Nyamanoro	Kijiji		Tumaini (Kona ya Bwiru)	Dis	Private	Rural	Private
10410	Ilemela DC	Ilemela	Nyamanoro	Kijiji		Kijiji	Dis	Private	Rural	Private
10411	Ilemela DC	Ilemela	Nyamanoro	Kijiji		Huduma - Kilimahewa	Dis	Private	Rural	Private
10412	Ilemela DC	Ilemela	Nyamanoro	Zahanati		Kiloleli	Dis	Private	Rural	Private
10413	Ilemela DC	Ilemela	Nyamanoro	Ibungilo		Ibungilo	Dis	TPDF	Rural	Public
10414	Ilemela DC	Ilemela	Nyamanoro	Ibungilo		Kataraiya	Clinic	Private	Rural	Private
10415	Ilemela DC	Ilemela	Nyamanoro	Kilimahewa		Victoria - Kilimahewa	Dis	Private	Rural	Private
10416	Ilemela DC	Ilemela	Nyamanoro	Makongoro		Makongoro	Dis	Lutheran	Rural	Fbo
10417	Ilemela DC	Ilemela	Nyamanoro	Mbugani		Marie Stopes	Dis	Private	Rural	Private
10418	Ilemela DC	Ilemela	Nyamanoro	Tarazo		Amani (Gumodoka Kilimahewa)	Dis	Private	Rural	Private
10419	Ilemela DC	Ilemela	Sangabuye	Nyashimba A		Sangabuye	Dis	LGA	Rural	Public
10420	Ilemela DC	Ilemela	Sangabuye	Kabasungu		Kabusungu	Dis	LGA	Rural	Public
10421	Ilemela DC	Ilemela	Bugogwa	Igombe		Karume	HC	LGA	Rural	Public
10422	Ilemela DC	Ilemela	Bugogwa	Igombe		Ziwani	Dis	Private	Rural	Private
10423	Ilemela DC	Ilemela	Bugogwa	Igombe		Imani Bugogwa	Dis	Private	Rural	Private
10424	Ilemela DC	Ilemela	Bugogwa	Ilalila		Igogwe	Dis	LGA	Rural	Public
10425	Ilemela DC	Ilemela	Bugogwa	Nyamwilolelwa		Nyamwilolelwa	Dis	LGA	Rural	Public
10426	Ilemela DC	Ilemela	Bugogwa	Airport		Mmh	Hos	TPDF	Rural	Public
10427	Ilemela DC	Ilemela	Pasiansi	Pasiansi Chini		Pasiansi	Dis	LGA	Rural	Public
10428	Ilemela DC	Ilemela	Pasiansi	Pasiansi Chini		Tanzania Breweries	Dis	Religious	Rural	Fbo
10429	Ilemela DC	Ilemela	Pasiansi	Kawekamo A		Pasiansi	Dis	Seventh Day Adventists	Rural	Fbo
10430	Ilemela DC	Ilemela	Pasiansi	Bwiru Elimu		Bwiru Boys	Dis	MDA	Rural	Public
10431	Ilemela DC	Ilemela	Pasiansi	Bwiru Elimu		Bwiru Girls	Dis	MDA	Rural	Public
10432	Ilemela DC	Ilemela	Kirumba	Magomeni		Kirumba	Dis	LGA	Rural	Public
10433	Ilemela DC	Ilemela	Kirumba	Magomeni		Magomeni	Dis	Private	Rural	Private
10434	Ilemela DC	Ilemela	Kirumba	Bondeni		Umati	Dis	Private	Rural	Private
10435	Ilemela DC	Ilemela	Kirumba	Vuka		Corner	Dis	Private	Rural	Private
10436	Ilemela DC	Ilemela	Buswelu	Bulola A		Buswelu	Dis	Private	Rural	Private
10437	Ilemela DC	Ilemela	Buswelu	Nyamhongolo		Nyamhongolo	Dis		Rural	TBD
10438	Ilemela DC	Ilemela	Ilemela	Air Port		Airport	Dis	Private	Rural	Private
10439	Ilemela DC	Ilemela	Ilemela	Kahasa		Ilemela	Dis	LGA	Rural	Public
10440	Ilemela DC	Ilemela	Ilemela	Balyehele		Ilemela	Dis	Private	Rural	Private
10441	Ilemela DC	Ilemela	Ilemela	Kahama		Kahama	Dis	LGA	Rural	Public
10442	Ilemela DC	Ilemela	Ilemela	Kiseke B		Luhanga	Dis	LGA	Rural	Public
10443	Ilemela DC	Ilemela	Ilemela	Kiseke B		Kiseke Community	HC		Rural	TBD
10444	Ilemela DC	Ilemela	Kitangiri	National Institute of Medical Reseach		National Institute of Medical Research	Dis	LGA	Rural	Public
10445	Geita DC	Geita	Kalangalala	Kalangalala		Kalangalala	Hos	LGA	Rural	Public
10446	Geita DC	Geita	Kalangalala	Nyankumbu		Nyankumbu	HC	LGA	Rural	Public
10450	Geita DC	Geita	Mtakuja	Nyamalembo		Nyamalembo	Dis	Private	Rural	Private
10455	Geita DC	Geita	Ihanamilo	Bunegezi		Bunegezi	Dis	LGA	Rural	Public
10462	Geita DC	Bugando	Nzera	Nzera		Nzera	HC	LGA	Rural	Public
10463	Geita DC	Bugando	Nzera	Lwenzera		Lwenzera	Dis	LGA	Rural	Public
10464	Geita DC	Bugando	Nzera	Sungusira		Fulwe	Dis	LGA	Rural	Public
10467	Geita DC	Bugando	Senga	Senga		Senga	Dis	LGA	Rural	Public
10473	Geita DC	Bugando	Nkome	Nkome		Nkome	Dis	LGA	Rural	Public
10474	Geita DC	Bugando	Nkome	Mharamba		Mharamba	Dis	LGA	Rural	Public
10476	Geita DC	Bugando	Nkome	Izumacheli		Izumacheli	Dis	LGA	Rural	Public
10477	Geita DC	Bugando	Nkome	Izumacheli		Lubondo	Dis	Religious	Rural	Fbo
10479	Geita DC	Bugando	Nkome	Butwa/lulegea		Butwa	Dis	LGA	Rural	Public
10480	Geita DC	Bugando	Kagu	Bugulula		Bugulula	Dis	LGA	Rural	Public
10483	Geita DC	Bugando	Kagu	Kagu		Kagu	Dis	LGA	Rural	Public
10486	Geita DC	Butundwe	Katoro	Katoro		Katoro	HC	LGA	Rural	Public
10487	Geita DC	Butundwe	Katoro	Katoro		Katoro TCMC	Dis	Religious	Rural	Fbo
10490	Geita DC	Butundwe	Katoro	Ibondo		Ibondo	Dis	LGA	Rural	Public
10491	Geita DC	Butundwe	Katoro	Chibingo		Chibingo	Dis	LGA	Rural	Public
10494	Geita DC	Butundwe	Kaseme	Kaseme		Kaseme	Dis	LGA	Rural	Public
10498	Geita DC	Butundwe	Kaseme	Munekezi		Munekezi	Dis	LGA	Rural	Public
10500	Geita DC	Butundwe	Chigunga	Chigunga		Chigunga	Dis	LGA	Rural	Public
10503	Geita DC	Butundwe	Chigunga	Nyamwilolelwa		Nyamwilolelwa	Dis	LGA	Rural	Public
10506	Geita DC	Butundwe	Nyakagomba	Nyasembe		Nyasembe	Dis	Assemblies of God	Rural	Fbo
