id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
19525,Mtisi,25362,,4744,,LGA,Government,,,2013-01-24 00:34:06.208848+00,2013-01-24 00:34:06.2089+00,16,,f,,,"",Under Construction,"",Under Construction/Not started even foundation,SG.KJ.162,"",1304024
19526,Mungumaji,25364,,4729,,LGA,Government,,,2013-01-24 00:34:06.241095+00,2013-01-24 00:34:06.241146+00,16,,f,,,"",Operating,"","",SG.KJ.155,MMAM,1304008
19527,Mwankoko,25366,,4730,,LGA,Government,,,2013-01-24 00:34:06.27192+00,2013-01-24 00:34:06.27197+00,16,,f,,,"",Operating,9,"",SG.KJ.157,"",1304009
19528,Mzalendo,25368,,4731,,Private,Private,,,2013-01-24 00:34:06.303232+00,2013-01-24 00:34:06.303277+00,16,,f,,,"",Not  Operating,5,"","","",1304010
19529,Neema,25237,,4741,,Private,Private,,,2013-01-24 00:34:06.323014+00,2013-01-24 00:34:06.323055+00,16,,f,,,Jumuia ya wazazi,Operating,"","","",MMAM,1304021
19530,Polisi,25370,,4732,,Police,Government,,,2013-01-24 00:34:06.356444+00,2013-01-24 00:34:06.3565+00,16,,f,-4.81985,34.7454,"",Operating,10,"","",Other,1304011
19531,Singida,25371,,4733,,LGA,Government,,,2013-01-24 00:34:06.388211+00,2013-01-24 00:34:06.388254+00,18,,f,-4.81533,34.74758,"",Operating,12,"","",Other,1304012
19532,Singida,25373,,4745,,LGA,Government,,,2013-01-24 00:34:06.417714+00,2013-01-24 00:34:06.417771+00,18,,f,,,"",Under Construction,"","",SG.KJ.303,"",1304027
19533,Sokoine,25375,,4734,,LGA,Government,,,2013-01-24 00:34:06.449221+00,2013-01-24 00:34:06.449273+00,17,,f,,,"",Operating,14,"","","",1304013
19534,Tumaini,25368,,4735,,Private,Private,,,2013-01-24 00:34:06.478992+00,2013-01-24 00:34:06.479046+00,17,,f,,,Singida Tumaini,Operating,15,"","","",1304014
19535,Uhamaka,25237,,4736,,LGA,Government,,,2013-01-24 00:34:06.496277+00,2013-01-24 00:34:06.496332+00,16,,f,-4.73412,34.66918,"",Operating,16,"","",Other,1304015
19536,Uhasibu,25376,,4737,,LGA,Government,,,2013-01-24 00:34:06.524405+00,2013-01-24 00:34:06.524453+00,16,,f,-4.80217,34.73412,"",Operating,17,"",SG.KJ.315,Other,1304016
19537,Unyambwa,25378,,4738,,LGA,Government,,,2013-01-24 00:34:06.553476+00,2013-01-24 00:34:06.553515+00,16,,f,-4.80724,34.81421,"",Operating,2,"",SG.KJ.302 - 23/4/79,Other,1304017
19538,Unyamikumbi,25380,,4739,,LGA,Government,,,2013-01-24 00:34:06.585377+00,2013-01-24 00:34:06.585415+00,16,,f,-4.89957,34.80041,"",Operating,18,"",SGD.VG.198 -10/3/77,Other,1304018
19539,Chipole,25384,,3418,,RC,FBO,,,2013-01-24 00:34:06.620947+00,2013-01-24 00:34:06.620991+00,16,,f,-10.83086,35.26898,"",Operating,1002003,"","","",1002002
19540,Gumbiro,25387,,3419,,LGA,Government,,,2013-01-24 00:34:06.65301+00,2013-01-24 00:34:06.653066+00,16,,f,-10.26317,35.63828,"",Operating,1002004,"","","",1002003
19541,Haleluya,25389,,3420,,Private,Private,,,2013-01-24 00:34:06.714929+00,2013-01-24 00:34:06.714978+00,16,,f,,,"",Closed,1002076,"","","",1002004
19542,Hanga ngadinda,25390,,3421,,LGA,Government,,,2013-01-24 00:34:06.747081+00,2013-01-24 00:34:06.747129+00,16,,f,-10.19919,35.67213,"",Operating,1002006,"","","",1002065
19543,Ifinga,25392,,3422,,RC,FBO,,,2013-01-24 00:34:06.778172+00,2013-01-24 00:34:06.778223+00,16,,f,-9.52867,35.52139,"",Operating,1002007,"","","",1002006
19544,Igawisenga,25394,,3423,,LGA,Government,,,2013-01-24 00:34:06.813624+00,2013-01-24 00:34:06.813669+00,16,,f,-9.7128,35.30905,"",Operating,1002080,"","","",1002007
19545,Kikunja,25396,,3424,,LGA,Government,,,2013-01-24 00:34:06.846312+00,2013-01-24 00:34:06.846365+00,16,,f,-10.82903,35.73139,"",Operating,1002008,"","","",1002008
19546,Kilagano,25399,,3425,,LGA,Government,,,2013-01-24 00:34:06.881922+00,2013-01-24 00:34:06.881987+00,16,,f,,,"",Under Construction,Not Allocated,"","","",1002009
19547,Kizuka,25400,,3426,,LGA,Government,,,2013-01-24 00:34:06.91153+00,2013-01-24 00:34:06.911583+00,16,,f,-10.80463,35.25504,"",Operating,1002078,"","","",1002010
19548,Liganga,25402,,3427,,RC,FBO,,,2013-01-24 00:34:06.94304+00,2013-01-24 00:34:06.943084+00,16,,f,-10.67845,35.33759,"",Operating,1002011,"","","",1002011
19549,Likalangiro,25404,,3428,,LGA,Government,,,2013-01-24 00:34:06.973815+00,2013-01-24 00:34:06.973861+00,16,,f,-10.45426,35.68046,"",Under Construction,Not Allocated,"","","",1002012
19550,Lilondo,25405,,3429,,LGA,Government,,,2013-01-24 00:34:07.002482+00,2013-01-24 00:34:07.002592+00,16,,f,-9.83674,35.33759,"",Operating,1002016,"","","",1002013
19551,Lipaya,25407,,3464,,LGA,Government,,,2013-01-24 00:34:07.033805+00,2013-01-24 00:34:07.033856+00,16,,f,,,"",Under Construction,Not Allocated,"","",MoHSW,1002053
19552,Lipokera,25409,,3465,,LGA,Government,,,2013-01-24 00:34:07.065205+00,2013-01-24 00:34:07.065258+00,16,,f,,,"",Under Construction,Not Allocated,"","",MoHSW,1002054
19553,Litisha,25410,,3430,,RC,FBO,,,2013-01-24 00:34:07.096424+00,2013-01-24 00:34:07.096466+00,16,,f,-10.66516,35.35918,"",Operating,Not Allocated,"","","",1002014
19554,Litowa,25412,,3431,,LGA,Government,,,2013-01-24 00:34:07.130423+00,2013-01-24 00:34:07.130461+00,16,,f,-10.51601,35.47731,"",Operating,1002021,"","","",1002015
19555,Liula,25413,,3432,,LGA,Government,,,2013-01-24 00:34:07.164394+00,2013-01-24 00:34:07.164437+00,16,,f,-10.66398,35.7481,"",Operating,1002063,"","","",1002016
19556,Liweta,25415,,3433,,LGA,Government,,,2013-01-24 00:34:07.195525+00,2013-01-24 00:34:07.195566+00,16,,f,-10.49374,35.58473,"",Operating,1002022,"","","",1002017
19557,Lugagara,25416,,3466,,LGA,Government,,,2013-01-24 00:34:07.223851+00,2013-01-24 00:34:07.22389+00,16,,f,,,"",Under Construction,Not Allocated,"","",MoHSW,1002055
19558,Luhimba,25417,,3434,,LGA,Government,,,2013-01-24 00:34:07.252672+00,2013-01-24 00:34:07.252714+00,16,,f,-10.42561,35.68407,"",Operating,1002060,"","","",1002018
19559,Lusonga,25418,,3467,,LGA,Government,,,2013-01-24 00:34:07.289119+00,2013-01-24 00:34:07.289171+00,16,,f,,,"",Under Construction,Not Allocated,"","",MoHSW,1002056
19560,Lutukira,25420,,3435,,LGA,Government,,,2013-01-24 00:34:07.321731+00,2013-01-24 00:34:07.321773+00,16,,f,-9.93306,35.53558,"",Operating,1002065,"","","",1002019
19561,Lyangweni,25421,,3436,,LGA,Government,,,2013-01-24 00:34:07.354526+00,2013-01-24 00:34:07.354582+00,16,,f,-10.76783,35.49584,"",Operating,1002079,"","","",1002020
