id,title,type_id,parent_region_id,created_at,updated_at
22991,Kibakwe,4,22980,2013-01-24 00:29:37.356666+00,2013-01-24 00:29:37.356713+00
22992,Chogola,6,22991,2013-01-24 00:29:37.361936+00,2013-01-24 00:29:37.361998+00
22993,Chogola,5,22992,2013-01-24 00:29:37.428588+00,2013-01-24 00:29:37.428651+00
22994,Chunyu,5,22982,2013-01-24 00:29:37.681142+00,2013-01-24 00:29:37.681205+00
22995,Mbuga,6,22991,2013-01-24 00:29:37.8427+00,2013-01-24 00:29:37.842756+00
22996,Galigali,5,22995,2013-01-24 00:29:37.921561+00,2013-01-24 00:29:37.92162+00
22997,Godegode,5,22982,2013-01-24 00:29:38.094871+00,2013-01-24 00:29:38.094915+00
22998,Gulwe,5,22982,2013-01-24 00:29:38.344396+00,2013-01-24 00:29:38.344444+00
22999,Ipera,6,22985,2013-01-24 00:29:38.515698+00,2013-01-24 00:29:38.515743+00
23000,Idodoma,5,22999,2013-01-24 00:29:38.604624+00,2013-01-24 00:29:38.604668+00
23001,Igoji I,5,22982,2013-01-24 00:29:38.778307+00,2013-01-24 00:29:38.778351+00
23002,Iguluwi,5,22995,2013-01-24 00:29:39.039861+00,2013-01-24 00:29:39.039909+00
23003,Luhundwa,6,22991,2013-01-24 00:29:39.208891+00,2013-01-24 00:29:39.208954+00
23004,Ikuyu,5,23003,2013-01-24 00:29:39.213991+00,2013-01-24 00:29:39.214043+00
23005,Kimagai,6,22981,2013-01-24 00:29:39.455443+00,2013-01-24 00:29:39.455508+00
23006,Inzomvu,5,23005,2013-01-24 00:29:39.462483+00,2013-01-24 00:29:39.462531+00
23007,Kinusi,5,22999,2013-01-24 00:29:39.699884+00,2013-01-24 00:29:39.699942+00
23008,Iwondo,5,22982,2013-01-24 00:29:39.948167+00,2013-01-24 00:29:39.948229+00
23009,Kibakwe,6,22991,2013-01-24 00:29:40.136035+00,2013-01-24 00:29:40.136091+00
23010,Iyenge,5,23009,2013-01-24 00:29:40.203005+00,2013-01-24 00:29:40.203067+00
23011,Kibakwe,5,23009,2013-01-24 00:29:40.442178+00,2013-01-24 00:29:40.442223+00
23012,Kidenge,5,23003,2013-01-24 00:29:40.919455+00,2013-01-24 00:29:40.91951+00
23013,Kiegea,5,22982,2013-01-24 00:29:41.150598+00,2013-01-24 00:29:41.150643+00
23014,Kikuyu,5,22999,2013-01-24 00:29:41.379071+00,2013-01-24 00:29:41.379135+00
23015,Rudi,6,22985,2013-01-24 00:29:41.528665+00,2013-01-24 00:29:41.52871+00
23016,Kisima,5,23015,2013-01-24 00:29:41.594528+00,2013-01-24 00:29:41.594571+00
23017,Kizi,5,22995,2013-01-24 00:29:41.81994+00,2013-01-24 00:29:41.819988+00
23018,Lufu,5,23003,2013-01-24 00:29:41.962974+00,2013-01-24 00:29:41.963022+00
23019,Luhundwa,5,23003,2013-01-24 00:29:42.202721+00,2013-01-24 00:29:42.202785+00
23020,Lukole,5,23009,2013-01-24 00:29:42.448728+00,2013-01-24 00:29:42.448772+00
23021,Lumuma,6,22991,2013-01-24 00:29:42.619391+00,2013-01-24 00:29:42.619434+00
23022,Lumuma,5,23021,2013-01-24 00:29:42.710107+00,2013-01-24 00:29:42.710153+00
23023,Wotta,6,22991,2013-01-24 00:29:42.858384+00,2013-01-24 00:29:42.858439+00
23024,Lwihomelo,5,23023,2013-01-24 00:29:42.93617+00,2013-01-24 00:29:42.936215+00
23025,Mafene,5,23021,2013-01-24 00:29:43.099156+00,2013-01-24 00:29:43.099214+00
23026,Mazae,5,22982,2013-01-24 00:29:43.344296+00,2013-01-24 00:29:43.344343+00
23027,Makose,5,23015,2013-01-24 00:29:43.692247+00,2013-01-24 00:29:43.692316+00
23028,Malolo,5,22999,2013-01-24 00:29:43.856621+00,2013-01-24 00:29:43.856662+00
